OPCS_4.9,Description
H24.3,H24.3: Endoscopic insertion of tubal prosthesis into lower bowel using fibreoptic sigmoidoscope
H24.4,H24.4: Endoscopic insertion of expanding metal stent into lower bowel using fibreoptic sigmoidoscope
H24.5,H24.5: Endoscopic decompression of lower bowel using fibreoptic sigmoidoscope
H24.8,H24.8: Other specified other therapeutic endoscopic operations on lower bowel using fibreoptic sigmoidoscope
H24.9,H24.9: Unspecified other therapeutic endoscopic operations on lower bowel using fibreoptic sigmoidoscope
H25.1,H25.1: Diagnostic endoscopic examination of lower bowel and biopsy of lesion of lower bowel using fibreoptic sigmoidoscope
H25.2,H25.2: Diagnostic endoscopic examination of lower bowel and sampling for bacterial overgrowth using fibreoptic sigmoidoscope
H25.8,H25.8: Other specified diagnostic endoscopic examination of lower bowel using fibreoptic sigmoidoscope
H25.9,H25.9: Unspecified diagnostic endoscopic examination of lower bowel using fibreoptic sigmoidoscope
H26.1,H26.1: Endoscopic snare resection of lesion of sigmoid colon using rigid sigmoidoscope
H26.2,H26.2: Endoscopic cauterisation of lesion of sigmoid colon using rigid sigmoidoscope
H26.3,H26.3: Endoscopic laser destruction of lesion of sigmoid colon using rigid sigmoidoscope
H26.4,H26.4: Endoscopic cryotherapy to lesion of sigmoid colon using rigid sigmoidoscope
H26.5,H26.5: Endoscopic destruction of lesion of sigmoid colon using rigid sigmoidoscope NEC
H26.6,H26.6: Endoscopic submucosal resection of lesion of sigmoid colon using rigid sigmoidoscope
H26.7,H26.7: Endoscopic resection of lesion of sigmoid colon using rigid sigmoidoscope NEC
H26.8,H26.8: Other specified endoscopic extirpation of lesion of sigmoid colon using rigid sigmoidoscope
H26.9,H26.9: Unspecified endoscopic extirpation of lesion of sigmoid colon using rigid sigmoidoscope
H27.1,H27.1: Endoscopic dilation of sigmoid colon using rigid sigmoidoscope
H27.2,H27.2: Endoscopic removal of foreign body from sigmoid colon using rigid sigmoidoscope
H27.3,H27.3: Endoscopic insertion of tubal prosthesis into sigmoid colon using rigid sigmoidoscope
H27.4,H27.4: Endoscopic insertion of expanding metal stent into sigmoid colon using rigid sigmoidoscope
H27.5,H27.5: Endoscopic decompression of sigmoid colon using rigid sigmoidoscope
H27.8,H27.8: Other specified other therapeutic endoscopic operations on sigmoid colon using rigid sigmoidoscope
H27.9,H27.9: Unspecified other therapeutic endoscopic operations on sigmoid colon using rigid sigmoidoscope
H28.1,H28.1: Diagnostic endoscopic examination of sigmoid colon and biopsy of lesion of sigmoid colon using rigid sigmoidoscope
H28.8,H28.8: Other specified diagnostic endoscopic examination of sigmoid colon using rigid sigmoidoscope
H28.9,H28.9: Unspecified diagnostic endoscopic examination of sigmoid colon using rigid sigmoidoscope
H29.1,H29.1: Subtotal excision of colon and rectum and creation of colonic pouch and anastomosis of colon to anus
H29.2,H29.2: Subtotal excision of colon and rectum and creation of colonic pouch NEC
H29.3,H29.3: Subtotal excision of colon and creation of colonic pouch and anastomosis of colon to rectum
H29.4,H29.4: Subtotal excision of colon and creation of colonic pouch NEC
H29.5,H29.5: Subtotal excision of colon and anastomosis of colon to ileum
H29.8,H29.8: Other specified subtotal excision of colon
H29.9,H29.9: Unspecified subtotal excision of colon
H30.1,H30.1: Radiological reduction of intussusception of colon using barium enema
H30.2,H30.2: Intubation of colon for pressure manometry
H30.3,H30.3: Passage of flatus tube to reduce volvulus of sigmoid colon
H30.4,H30.4: Intubation of colon NEC
H30.5,H30.5: Irrigation of colon
H30.8,H30.8: Other specified other operations on colon
H30.9,H30.9: Unspecified other operations on colon
H31.1,H31.1: Image guided percutaneous occlusion of colorectal fistula
H31.2,H31.2: Image guided transluminal occlusion of colorectal fistula
H31.3,H31.3: Image guided balloon dilation of colorectal stricture
H31.4,H31.4: Image guided insertion of colorectal stent
H31.5,H31.5: Image guided removal of colorectal stent
H31.8,H31.8: Other specified image guided colorectal therapeutic operations
H31.9,H31.9: Unspecified image guided colorectal therapeutic operations
H32.1,H32.1: Resiting of colostomy
H32.8,H32.8: Other specified exteriorisation of colon
H32.9,H32.9: Unspecified exteriorisation of colon
H33.1,H33.1: Abdominoperineal excision of rectum and end colostomy
H33.2,H33.2: Proctectomy and anastomosis of colon to anus
H33.3,H33.3: Anterior resection of rectum and anastomosis of colon to rectum using staples
H33.4,H33.4: Anterior resection of rectum and anastomosis NEC
H33.5,H33.5: Rectosigmoidectomy and closure of rectal stump and exteriorisation of bowel
H33.6,H33.6: Anterior resection of rectum and exteriorisation of bowel
H33.7,H33.7: Perineal resection of rectum HFQ
H33.8,H33.8: Other specified excision of rectum
H33.9,H33.9: Unspecified excision of rectum
H34.1,H34.1: Open excision of lesion of rectum
H34.2,H34.2: Open cauterisation of lesion of rectum
H34.3,H34.3: Open cryotherapy to lesion of rectum
H34.4,H34.4: Open laser destruction of lesion of rectum
H34.5,H34.5: Open destruction of lesion of rectum NEC
H34.8,H34.8: Other specified open extirpation of lesion of rectum
H34.9,H34.9: Unspecified open extirpation of lesion of rectum
H35.1,H35.1: Anterior fixation of rectum NEC
H35.2,H35.2: Posterior fixation of rectum using prosthetic material
H35.3,H35.3: Posterior fixation of rectum NEC
H35.4,H35.4: Fixation of rectum using fascia lata
H35.5,H35.5: Anterior fixation of rectum using prosthetic material
H35.8,H35.8: Other specified fixation of rectum for prolapse
H35.9,H35.9: Unspecified fixation of rectum for prolapse
H36.1,H36.1: Abdominal repair of levator ani muscles
H36.8,H36.8: Other specified other abdominal operations for prolapse of rectum
H36.9,H36.9: Unspecified other abdominal operations for prolapse of rectum
H37.1,H37.1: Endoscopic mucosal resection of lesion of sigmoid colon using rigid sigmoidoscope
H37.8,H37.8: Other specified other endoscopic extirpation of lesion of sigmoid colon using rigid sigmoidoscope
H37.9,H37.9: Unspecified other endoscopic extirpation of lesion of sigmoid colon using rigid sigmoidoscope
H40.1,H40.1: Trans-sphincteric excision of mucosa of rectum
H40.2,H40.2: Trans-sphincteric excision of lesion of rectum
H40.3,H40.3: Trans-sphincteric destruction of lesion of rectum
H40.4,H40.4: Trans-sphincteric anastomosis of colon to anus
H40.8,H40.8: Other specified operations on rectum through anal sphincter
H40.9,H40.9: Unspecified operations on rectum through anal sphincter
H41.1,H41.1: Rectosigmoidectomy and peranal anastomosis
H41.2,H41.2: Peranal excision of lesion of rectum
H41.3,H41.3: Peranal destruction of lesion of rectum
H41.4,H41.4: Peranal mucosal proctectomy and endoanal anastomosis
H41.5,H41.5: Peranal resection of rectum using staples
H41.8,H41.8: Other specified other operations on rectum through anus
H41.9,H41.9: Unspecified other operations on rectum through anus
H42.1,H42.1: Insertion of encircling suture around perianal sphincter
H42.2,H42.2: Perineal plication of levator ani muscles and anal sphincters
H42.3,H42.3: Insertion of supralevator sling
H42.4,H42.4: Removal of encircling suture from around perianal sphincter
H42.5,H42.5: Excision of mucosal prolapse of rectum NEC
H42.6,H42.6: Perineal repair of prolapse of rectum NEC
H42.7,H42.7: Rubber band ligation of prolapsed rectal mucosa
H42.8,H42.8: Other specified perineal operations for prolapse of rectum
H42.9,H42.9: Unspecified perineal operations for prolapse of rectum
H44.1,H44.1: Manual removal of foreign body from rectum
H44.2,H44.2: Manual reduction of prolapse of rectum
H44.3,H44.3: Manual evacuation of impacted faeces from rectum
H44.4,H44.4: Examination of rectum under anaesthetic
H44.5,H44.5: Massage of rectum
H44.8,H44.8: Other specified manipulation of rectum
H44.9,H44.9: Unspecified manipulation of rectum
H46.1,H46.1: Radiological reduction of intussusception of rectum using barium enema
H46.2,H46.2: Hydrostatic reduction of intussusception of rectum
H46.3,H46.3: Intubation of rectum for pressure manometry
H46.4,H46.4: Intubation of rectum NEC
H46.8,H46.8: Other specified other operations on rectum
H46.9,H46.9: Unspecified other operations on rectum
H47.1,H47.1: Excision of sphincter of anus
H47.8,H47.8: Other specified excision of anus
H47.9,H47.9: Unspecified excision of anus
H48.1,H48.1: Excision of polyp of anus
H48.2,H48.2: Excision of skin tag of anus
H48.3,H48.3: Excision of perianal wart
H48.8,H48.8: Other specified excision of lesion of anus
H48.9,H48.9: Unspecified excision of lesion of anus
H49.1,H49.1: Cauterisation of lesion of anus
H49.2,H49.2: Laser destruction of lesion of anus
H49.3,H49.3: Cryotherapy to lesion of anus
H49.8,H49.8: Other specified destruction of lesion of anus
H49.9,H49.9: Unspecified destruction of lesion of anus
H50.1,H50.1: Posterior repair of anal sphincter
H50.2,H50.2: Anterior repair of anal sphincter
H50.3,H50.3: Cutback of covered anus
H50.4,H50.4: Reanastomosis of rectum to anal canal for correction of congenital atresia of rectum
H50.8,H50.8: Other specified repair of anus
H50.9,H50.9: Unspecified repair of anus
H51.1,H51.1: Haemorrhoidectomy
H51.2,H51.2: Partial internal sphincterotomy for haemorrhoid
H51.3,H51.3: Stapled haemorrhoidectomy
H51.8,H51.8: Other specified excision of haemorrhoid
H51.9,H51.9: Unspecified excision of haemorrhoid
H52.1,H52.1: Cryotherapy to haemorrhoid
H52.2,H52.2: Infrared photocoagulation of haemorrhoid
H52.3,H52.3: Injection of sclerosing substance into haemorrhoid
H52.4,H52.4: Rubber band ligation of haemorrhoid
H52.8,H52.8: Other specified destruction of haemorrhoid
H52.9,H52.9: Unspecified destruction of haemorrhoid
H53.1,H53.1: Evacuation of perianal haematoma
H53.2,H53.2: Forced manual dilation of anus for haemorrhoid
H53.3,H53.3: Manual reduction of prolapsed haemorrhoid
H53.8,H53.8: Other specified other operations on haemorrhoid
H53.9,H53.9: Unspecified other operations on haemorrhoid
H54.1,H54.1: Anorectal stretch
H54.8,H54.8: Other specified dilation of anal sphincter
H54.9,H54.9: Unspecified dilation of anal sphincter
H55.1,H55.1: Laying open of low anal fistula
H55.2,H55.2: Laying open of high anal fistula
H55.3,H55.3: Laying open of anal fistula NEC
H55.4,H55.4: Insertion of seton into high anal fistula and partial laying open of track HFQ
H55.5,H55.5: Fistulography of anal fistula
H55.6,H55.6: Probing of perineal fistula
H55.7,H55.7: Repair of anal fistula using plug
H55.8,H55.8: Other specified other operations on perianal region
H55.9,H55.9: Unspecified other operations on perianal region
H56.1,H56.1: Biopsy of lesion of anus
H56.2,H56.2: Lateral sphincterotomy of anus
H56.3,H56.3: Incision of septum of anus
H56.4,H56.4: Excision of anal fissure
H56.8,H56.8: Other specified other operations on anus
H56.9,H56.9: Unspecified other operations on anus
H57.1,H57.1: Placement of artificial anal sphincter NEC
H57.2,H57.2: Maintenance of artificial anal sphincter NEC
H57.3,H57.3: Removal of artificial anal sphincter NEC
H57.4,H57.4: Creation of graciloplasty sphincter
H57.5,H57.5: Placement of dynamic graciloplasty sphincter
H57.6,H57.6: Maintenance of dynamic graciloplasty sphincter
H57.7,H57.7: Removal of dynamic graciloplasty sphincter
H57.8,H57.8: Other specified other operations on the anal sphincter to control continence
H57.9,H57.9: Unspecified other operations on the anal sphincter to control continence
H58.1,H58.1: Drainage of ischiorectal abscess
H58.2,H58.2: Drainage of perianal abscess
H58.3,H58.3: Drainage of perirectal abscess
H58.8,H58.8: Other specified drainage through perineal region
H58.9,H58.9: Unspecified drainage through perineal region
H59.1,H59.1: Excision of pilonidal sinus and Z plasty skin flap HFQ
H59.2,H59.2: Excision of pilonidal sinus and skin flap NEC
H59.3,H59.3: Excision of pilonidal sinus and skin graft HFQ
H59.4,H59.4: Excision of pilonidal sinus and suture HFQ
H59.8,H59.8: Other specified excision of pilonidal sinus
H59.9,H59.9: Unspecified excision of pilonidal sinus
H60.1,H60.1: Destruction of pilonidal sinus
H60.2,H60.2: Laying open of pilonidal sinus
H60.3,H60.3: Drainage of pilonidal sinus
H60.4,H60.4: Injection of radiocontrast substance into pilonidal sinus
H60.8,H60.8: Other specified other operations on pilonidal sinus
H60.9,H60.9: Unspecified other operations on pilonidal sinus
H62.1,H62.1: Laser recanalisation of bowel NEC
H62.2,H62.2: Mobilisation of bowel NEC
H62.3,H62.3: Dilation of bowel NEC
H62.4,H62.4: Intubation of bowel NEC
H62.5,H62.5: Irrigation of bowel NEC
H62.6,H62.6: Proctoscopy
H62.7,H62.7: Endoanal ultrasound examination of lower bowel
H62.8,H62.8: Other specified other operations on bowel
H62.9,H62.9: Unspecified other operations on bowel
H66.1,H66.1: Excision of ileoanal pouch
H66.2,H66.2: Revision of ileoanal pouch
H66.8,H66.8: Other specified therapeutic operations on ileoanal pouch
H66.9,H66.9: Unspecified therapeutic operations on ileoanal pouch
H68.1,H68.1: Diagnostic endoscopic examination of colonic pouch and biopsy of colonic pouch using colonoscope
H68.2,H68.2: Diagnostic endoscopic examination of colonic pouch using colonoscope NEC
H68.3,H68.3: Diagnostic endoscopic examination of ileoanal pouch and biopsy of ileoanal pouch using colonoscope
H68.4,H68.4: Diagnostic endoscopic examination of ileoanal pouch using colonoscope NEC
H68.8,H68.8: Other specified diagnostic endoscopic examination of enteric pouch using colonoscope
H68.9,H68.9: Unspecified diagnostic endoscopic examination of enteric pouch using colonoscope
H69.1,H69.1: Diagnostic endoscopic examination of colonic pouch and biopsy of colonic pouch using fibreoptic sigmoidoscope
H69.2,H69.2: Diagnostic endoscopic examination of colonic pouch using fibreoptic sigmoidoscope NEC
H69.3,H69.3: Diagnostic endoscopic examination of ileoanal pouch and biopsy of ileoanal pouch using fibreoptic sigmoidoscope
H69.4,H69.4: Diagnostic endoscopic examination of ileoanal pouch using fibreoptic sigmoidoscope NEC
H69.8,H69.8: Other specified diagnostic endoscopic examination of enteric pouch using fibreoptic sigmoidoscope
H69.9,H69.9: Unspecified diagnostic endoscopic examination of enteric pouch using fibreoptic sigmoidoscope
H70.1,H70.1: Diagnostic endoscopic examination of colonic pouch and biopsy of colonic pouch using rigid sigmoidoscope
H70.2,H70.2: Diagnostic endoscopic examination of colonic pouch using rigid sigmoidoscope NEC
H70.3,H70.3: Diagnostic endoscopic examination of ileoanal pouch and biopsy of ileoanal pouch using rigid sigmoidoscope
H70.4,H70.4: Diagnostic endoscopic examination of ileoanal pouch using rigid sigmoidoscope NEC
H70.8,H70.8: Other specified diagnostic endoscopic examination of enteric pouch using rigid sigmoidoscope
H70.9,H70.9: Unspecified diagnostic endoscopic examination of enteric pouch using rigid sigmoidoscope
H71.1,H71.1: Fibreoptic endoscopic balloon dilation of colonic pouch NEC
H71.8,H71.8: Other specified therapeutic endoscopic operations on enteric pouch
H71.9,H71.9: Unspecified therapeutic endoscopic operations on enteric pouch
J01.1,J01.1: Orthotopic transplantation of liver NEC
J01.2,J01.2: Heterotopic transplantation of liver
J01.3,J01.3: Replacement of previous liver transplant
J01.4,J01.4: Transplantation of liver cells
J01.5,J01.5: Orthotopic transplantation of whole liver
J01.8,J01.8: Other specified transplantation of liver
J01.9,J01.9: Unspecified transplantation of liver
J02.1,J02.1: Right hemihepatectomy NEC
J02.2,J02.2: Left hemihepatectomy NEC
J02.3,J02.3: Resection of segment of liver
J02.4,J02.4: Wedge excision of liver
J02.5,J02.5: Marsupialisation of lesion of liver
J02.6,J02.6: Extended right hemihepatectomy
J02.7,J02.7: Extended left hemihepatectomy
J02.8,J02.8: Other specified partial excision of liver
J02.9,J02.9: Unspecified partial excision of liver
J03.1,J03.1: Excision of lesion of liver NEC
J03.2,J03.2: Destruction of lesion of liver NEC
J03.3,J03.3: Thermal ablation of single lesion of liver
J03.4,J03.4: Thermal ablation of multiple lesions of liver
J03.5,J03.5: Excision of multiple lesions of liver
J03.8,J03.8: Other specified extirpation of lesion of liver
J03.9,J03.9: Unspecified extirpation of lesion of liver
J04.1,J04.1: Removal of lacerated fragment of liver
J04.2,J04.2: Repair of laceration of liver
J04.3,J04.3: Packing of laceration of liver
J04.8,J04.8: Other specified repair of liver
J04.9,J04.9: Unspecified repair of liver
J05.1,J05.1: Open drainage of liver
J05.2,J05.2: Open removal of calculus from liver
J05.3,J05.3: Open wedge biopsy of lesion of liver
J05.8,J05.8: Other specified incision of liver
J05.9,J05.9: Unspecified incision of liver
J06.1,J06.1: Transjugular intrahepatic insertion of stent into portal vein
J06.2,J06.2: Transjugular intrahepatic insertion of stent graft into portal vein
J06.8,J06.8: Other specified other transjugular intrahepatic operations on blood vessel of liver
J06.9,J06.9: Unspecified other transjugular intrahepatic operations on blood vessel of liver
J07.1,J07.1: Open devascularisation of liver
J07.2,J07.2: Open insertion of cannula for perfusion of liver
J07.3,J07.3: Exploration of liver
J07.4,J07.4: Transection of liver
J07.8,J07.8: Other specified other open operations on liver
J07.9,J07.9: Unspecified other open operations on liver
J08.1,J08.1: Endoscopic removal of calculus from liver using laparoscope
J08.2,J08.2: Endoscopic insertion of cannula into gall bladder using laparoscope
J08.3,J08.3: Endoscopic microwave ablation of lesion of liver using laparoscope
J08.8,J08.8: Other specified therapeutic endoscopic operations on liver using laparoscope
J08.9,J08.9: Unspecified therapeutic endoscopic operations on liver using laparoscope
J09.1,J09.1: Diagnostic endoscopic examination of liver and biopsy of lesion of liver using laparoscope
J09.2,J09.2: Laparoscopic ultrasound examination of liver and biopsy of lesion of liver
J09.3,J09.3: Laparoscopic ultrasound examination of liver NEC
J09.8,J09.8: Other specified diagnostic endoscopic examination of liver using laparoscope
J09.9,J09.9: Unspecified diagnostic endoscopic examination of liver using laparoscope
J10.1,J10.1: Percutaneous transluminal embolisation of hepatic artery
J10.2,J10.2: Percutaneous transluminal embolisation of portal vein
J10.3,J10.3: Percutaneous transluminal injection of therapeutic substance into liver
J10.4,J10.4: Percutaneous transluminal angioplasty of blood vessel of liver
J10.5,J10.5: Percutaneous transluminal thrombectomy of blood vessel of liver
J10.6,J10.6: Percutaneous transluminal thrombolysis of blood vessel of liver
J10.7,J10.7: Arteriography of hepatic artery
J10.8,J10.8: Other specified transluminal operations on blood vessel of liver
J10.9,J10.9: Unspecified transluminal operations on blood vessel of liver
J11.1,J11.1: Transjugular intrahepatic angioplasty of portal vein
J11.2,J11.2: Transjugular intrahepatic thrombectomy of portal vein
J11.3,J11.3: Transjugular intrahepatic thrombolysis of portal vein
J11.4,J11.4: Transjugular intrahepatic creation of portosystemic shunt
J11.5,J11.5: Transjugular intrahepatic venography of portal vein
J11.6,J11.6: Transjugular intrahepatic pressure measurements of portal vein
J11.7,J11.7: Transjugular intrahepatic pressure measurements of hepatic vein
J11.8,J11.8: Other specified transjugular intrahepatic operations on blood vessel of liver
J11.9,J11.9: Unspecified transjugular intrahepatic operations on blood vessel of liver
J12.1,J12.1: Percutaneous drainage of liver
J12.2,J12.2: Percutaneous removal of calculus from liver
J12.3,J12.3: Selective internal radiotherapy with microspheres to lesion of liver
J12.4,J12.4: Percutaneous radiofrequency ablation of lesion of liver
J12.5,J12.5: Percutaneous thermal ablation of lesion of liver NEC
J12.6,J12.6: Percutaneous chemical ablation of lesion of liver
J12.7,J12.7: Percutaneous microwave ablation of lesion of liver
J12.8,J12.8: Other specified other therapeutic percutaneous operations on liver
J12.9,J12.9: Unspecified other therapeutic percutaneous operations on liver
J13.1,J13.1: Percutaneous transvascular biopsy of lesion of liver
J13.2,J13.2: Percutaneous biopsy of lesion of liver NEC
J13.8,J13.8: Other specified diagnostic percutaneous operations on liver
J13.9,J13.9: Unspecified diagnostic percutaneous operations on liver
J14.1,J14.1: Biopsy of liver NEC
J14.2,J14.2: Aspiration of liver NEC
J14.8,J14.8: Other specified other puncture of liver
J14.9,J14.9: Unspecified other puncture of liver
J15.1,J15.1: Percutaneous transluminal insertion of stent graft into hepatic artery
J15.2,J15.2: Percutaneous transluminal insertion of stent into hepatic artery NEC
J15.3,J15.3: Percutaneous transluminal insertion of stent graft into blood vessel of liver NEC
J15.4,J15.4: Percutaneous transluminal insertion of stent into portal vein
J15.5,J15.5: Percutaneous transluminal insertion of stent graft into portal vein
J15.8,J15.8: Other specified transluminal insertion of prosthesis into blood vessel of liver
J15.9,J15.9: Unspecified transluminal insertion of prosthesis into blood vessel of liver
J16.1,J16.1: Localised perfusion of liver
J16.2,J16.2: Extracorporeal assistance to liver
J16.8,J16.8: Other specified other operations on liver
J16.9,J16.9: Unspecified other operations on liver
J17.1,J17.1: Endoscopic ultrasound examination of liver and biopsy of lesion of liver
J17.8,J17.8: Other specified endoscopic ultrasound examination of liver
J17.9,J17.9: Unspecified endoscopic ultrasound examination of liver
J18.1,J18.1: Total cholecystectomy and excision of surrounding tissue
J18.2,J18.2: Total cholecystectomy and exploration of common bile duct
J18.3,J18.3: Total cholecystectomy NEC
J18.4,J18.4: Partial cholecystectomy and exploration of common bile duct
J18.5,J18.5: Partial cholecystectomy NEC
J18.8,J18.8: Other specified excision of gall bladder
J18.9,J18.9: Unspecified excision of gall bladder
J19.1,J19.1: Anastomosis of gall bladder to stomach
J19.2,J19.2: Anastomosis of gall bladder to duodenum
J19.3,J19.3: Anastomosis of gall bladder to jejunum
J19.4,J19.4: Anastomosis of gall bladder to intestine NEC
J19.5,J19.5: Revision of anastomosis of gall bladder
J19.6,J19.6: Closure of anastomosis of gall bladder
J19.8,J19.8: Other specified connection of gall bladder
J19.9,J19.9: Unspecified connection of gall bladder
J20.1,J20.1: Closure of fistula of gall bladder
J20.2,J20.2: Closure of cholecystotomy
J20.3,J20.3: Repair of perforation of gall bladder
J20.8,J20.8: Other specified repair of gall bladder
J20.9,J20.9: Unspecified repair of gall bladder
J21.1,J21.1: Open removal of calculus from gall bladder
J21.2,J21.2: Drainage of gall bladder
J21.3,J21.3: Drainage of tissue surrounding gall bladder
J21.8,J21.8: Other specified incision of gall bladder
J21.9,J21.9: Unspecified incision of gall bladder
J23.1,J23.1: Excision of lesion of gall bladder
J23.2,J23.2: Open biopsy of lesion of gall bladder
J23.3,J23.3: Exploration of gall bladder
J23.8,J23.8: Other specified other open operations on gall bladder
J23.9,J23.9: Unspecified other open operations on gall bladder
J24.1,J24.1: Percutaneous drainage of gall bladder
J24.2,J24.2: Percutaneous fragmentation of calculus in gall bladder
J24.3,J24.3: Percutaneous dissolution therapy to calculus in gall bladder
J24.8,J24.8: Other specified therapeutic percutaneous operations on gall bladder
J24.9,J24.9: Unspecified therapeutic percutaneous operations on gall bladder
J25.1,J25.1: Percutaneous biopsy of lesion of gall bladder
J25.8,J25.8: Other specified diagnostic percutaneous operations on gall bladder
J25.9,J25.9: Unspecified diagnostic percutaneous operations on gall bladder
J26.1,J26.1: Extracorporeal fragmentation of calculus in gall bladder
J26.8,J26.8: Other specified other operations on gall bladder
J26.9,J26.9: Unspecified other operations on gall bladder
J27.1,J27.1: Excision of ampulla of Vater and replantation of common bile duct into duodenum
J27.2,J27.2: Partial excision of bile duct and anastomosis of bile duct to duodenum
J27.3,J27.3: Partial excision of bile duct and anastomosis of bile duct to jejunum
J27.4,J27.4: Partial excision of bile duct and end to end anastomosis of bile duct
J27.5,J27.5: Excision of extrahepatic bile ducts HFQ
J27.8,J27.8: Other specified excision of bile duct
J27.9,J27.9: Unspecified excision of bile duct
J28.1,J28.1: Excision of lesion of bile duct
J28.2,J28.2: Destruction of lesion of bile duct
J28.8,J28.8: Other specified extirpation of lesion of bile duct
J28.9,J28.9: Unspecified extirpation of lesion of bile duct
J29.1,J29.1: Anastomosis of hepatic duct to transposed jejunum and insertion of tubal prosthesis HFQ
J29.2,J29.2: Anastomosis of hepatic duct to jejunum NEC
J29.3,J29.3: Revision of anastomosis of hepatic duct
J29.4,J29.4: Open dilation of anastomosis of hepatic duct
J29.8,J29.8: Other specified connection of hepatic duct
J29.9,J29.9: Unspecified connection of hepatic duct
J30.1,J30.1: Anastomosis of common bile duct to duodenum
J30.2,J30.2: Anastomosis of common bile duct to transposed jejunum
J30.3,J30.3: Anastomosis of common bile duct to jejunum NEC
J30.4,J30.4: Revision of anastomosis of common bile duct
J30.5,J30.5: Open dilation of anastomosis of common bile duct
J30.8,J30.8: Other specified connection of common bile duct
J30.9,J30.9: Unspecified connection of common bile duct
J31.1,J31.1: Open insertion of tubal prosthesis into both hepatic ducts and common bile duct
J31.2,J31.2: Open insertion of tubal prosthesis into one hepatic duct and common bile duct
J31.3,J31.3: Open renewal of tubal prosthesis in bile duct
J31.4,J31.4: Open removal of tubal prosthesis from bile duct
J31.8,J31.8: Other specified open introduction of prosthesis into bile duct
J31.9,J31.9: Unspecified open introduction of prosthesis into bile duct
J32.1,J32.1: Reconstruction of bile duct
J32.2,J32.2: Reanastomosis of bile duct
J32.8,J32.8: Other specified repair of bile duct
J32.9,J32.9: Unspecified repair of bile duct
J33.1,J33.1: Open removal of calculus from bile duct and drainage of bile duct
J33.2,J33.2: Open removal of calculus from bile duct NEC
J33.3,J33.3: Drainage of bile duct NEC
J33.8,J33.8: Other specified incision of bile duct
J33.9,J33.9: Unspecified incision of bile duct
J34.1,J34.1: Sphincteroplasty of bile duct and pancreatic duct using duodenal approach
J34.2,J34.2: Sphincteroplasty of bile duct using duodenal approach NEC
J34.3,J34.3: Sphincteroplasty of pancreatic duct using duodenal approach NEC
J34.8,J34.8: Other specified plastic repair of sphincter of Oddi using duodenal approach
J34.9,J34.9: Unspecified plastic repair of sphincter of Oddi using duodenal approach
J35.1,J35.1: Sphincterotomy of bile duct and pancreatic duct using duodenal approach
J35.2,J35.2: Sphincterotomy of bile duct using duodenal approach NEC
J35.3,J35.3: Sphincterotomy of pancreatic duct using duodenal approach NEC
J35.8,J35.8: Other specified incision of sphincter of Oddi using duodenal approach
J35.9,J35.9: Unspecified incision of sphincter of Oddi using duodenal approach
J36.1,J36.1: Excision of ampulla of Vater using duodenal approach
J36.2,J36.2: Biopsy of lesion of ampulla of Vater using duodenal approach
J36.8,J36.8: Other specified other operations on ampulla of Vater using duodenal approach
J36.9,J36.9: Unspecified other operations on ampulla of Vater using duodenal approach
J37.1,J37.1: Open biopsy of lesion of bile duct
J37.2,J37.2: Operative cholangiography through cystic duct
J37.3,J37.3: Direct puncture operative cholangiography
J37.4,J37.4: Operative choledochoscopy NEC
J37.8,J37.8: Other specified other open operations on bile duct
J37.9,J37.9: Unspecified other open operations on bile duct
J38.1,J38.1: Endoscopic sphincterotomy of sphincter of Oddi and removal of calculus HFQ
J38.2,J38.2: Endoscopic sphincterotomy of sphincter of Oddi and insertion of tubal prosthesis into bile duct
J38.8,J38.8: Other specified endoscopic incision of sphincter of Oddi
J38.9,J38.9: Unspecified endoscopic incision of sphincter of Oddi
J39.1,J39.1: Endoscopic sphincterotomy of accessory ampulla of Vater
J39.2,J39.2: Endoscopic sphincteroplasty of ampulla of Vater NEC
J39.3,J39.3: Endoscopic sphincteroplasty of ampulla of Vater and removal of calculus HFQ
J39.4,J39.4: Endoscopic sphincteroplasty of ampulla of Vater and insertion of tubal prosthesis into bile duct
J39.8,J39.8: Other specified other therapeutic endoscopic operations on ampulla of Vater
J39.9,J39.9: Unspecified other therapeutic endoscopic operations on ampulla of Vater
J40.1,J40.1: Endoscopic retrograde insertion of tubal prosthesis into both hepatic ducts
J40.2,J40.2: Endoscopic retrograde insertion of tubal prosthesis into bile duct NEC
J40.3,J40.3: Endoscopic retrograde renewal of tubal prosthesis in bile duct NEC
J40.4,J40.4: Endoscopic retrograde removal of tubal prosthesis from bile duct
J40.5,J40.5: Endoscopic retrograde insertion of expanding covered metal stent into bile duct
J40.6,J40.6: Endoscopic retrograde insertion of expanding metal stent into bile duct NEC
J40.7,J40.7: Endoscopic retrograde renewal of expanding metal stent in bile duct
J40.8,J40.8: Other specified endoscopic retrograde placement of prosthesis in bile duct
J40.9,J40.9: Unspecified endoscopic retrograde placement of prosthesis in bile duct
J41.1,J41.1: Endoscopic retrograde extraction of calculus from bile duct
J41.2,J41.2: Endoscopic dilation of bile duct NEC
J41.3,J41.3: Endoscopic retrograde lithotripsy of calculus of bile duct
J41.4,J41.4: Endoscopic retrograde photodynamic laser therapy of lesion of bile duct
J41.8,J41.8: Other specified other therapeutic endoscopic retrograde operations on bile duct
J41.9,J41.9: Unspecified other therapeutic endoscopic retrograde operations on bile duct
